Initial Nodes,Generated Pairs,1/2 n ln n where n is natural logarithm of n,
100,266,230.25850929940458,
200,604,529.8317366548036,
500,1693,1553.652024605548,
700,2465,2292.8781172651916,
1000,3673,3453.8776394910683,
5000,22967,21292.982978540596,
10000,49503,46051.701859880915,
15000,75399,72118.5411006326,
25000,133654,126582.88879812922,
30000,164291,154634.2899096644,
